season,week,celebrity_name,era,raw_score,judge_share,judge_rank,results,is_eliminated
1,1.0,Evander Holyfield,Rank,18.0,0.1651376146788991,4.0,Eliminated Week 3,0
1,1.0,Joey McIntyre,Rank,20.0,0.1834862385321101,1.0,3rd Place,0
1,1.0,John O'Hurley,Rank,20.0,0.1834862385321101,1.0,2nd Place,0
1,1.0,Kelly Monaco,Rank,13.0,0.11926605504587157,6.0,1st Place,0
1,1.0,Rachel Hunter,Rank,20.0,0.1834862385321101,1.0,Eliminated Week 4,0
1,1.0,Trista Sutter,Rank,18.0,0.1651376146788991,4.0,Eliminated Week 2,0
1,2.0,Evander Holyfield,Rank,14.0,0.11570247933884298,6.0,Eliminated Week 3,0
1,2.0,Joey McIntyre,Rank,21.0,0.17355371900826447,3.0,3rd Place,0
1,2.0,John O'Hurley,Rank,26.0,0.21487603305785125,1.0,2nd Place,0
1,2.0,Kelly Monaco,Rank,17.0,0.14049586776859505,5.0,1st Place,0
1,2.0,Rachel Hunter,Rank,24.0,0.19834710743801653,2.0,Eliminated Week 4,0
1,2.0,Trista Sutter,Rank,19.0,0.15702479338842976,4.0,Eliminated Week 2,1
1,3.0,Evander Holyfield,Rank,13.0,0.12264150943396226,5.0,Eliminated Week 3,1
1,3.0,Joey McIntyre,Rank,22.0,0.20754716981132076,3.0,3rd Place,0
1,3.0,John O'Hurley,Rank,24.0,0.22641509433962265,2.0,2nd Place,0
1,3.0,Kelly Monaco,Rank,21.0,0.19811320754716982,4.0,1st Place,0
1,3.0,Rachel Hunter,Rank,26.0,0.24528301886792453,1.0,Eliminated Week 4,0
1,4.0,Joey McIntyre,Rank,20.0,0.21739130434782608,4.0,3rd Place,0
1,4.0,John O'Hurley,Rank,21.0,0.22826086956521738,3.0,2nd Place,0
1,4.0,Kelly Monaco,Rank,26.0,0.2826086956521739,1.0,1st Place,0
1,4.0,Rachel Hunter,Rank,25.0,0.2717391304347826,2.0,Eliminated Week 4,1
1,5.0,Joey McIntyre,Rank,22.5,0.3082191780821918,3.0,3rd Place,0
1,5.0,John O'Hurley,Rank,27.0,0.3698630136986301,1.0,2nd Place,0
1,5.0,Kelly Monaco,Rank,23.5,0.3219178082191781,2.0,1st Place,0
1,6.0,John O'Hurley,Rank,27.0,0.4954128440366973,2.0,2nd Place,0
1,6.0,Kelly Monaco,Rank,27.5,0.5045871559633027,1.0,1st Place,0
2,1.0,Drew Lachey,Rank,24.0,0.12307692307692308,1.0,1st Place,0
2,1.0,George Hamilton,Rank,18.0,0.09230769230769231,8.0,Eliminated Week 6,0
2,1.0,Giselle Fernandez,Rank,23.0,0.11794871794871795,2.0,Eliminated Week 3,0
2,1.0,Jerry Rice,Rank,21.0,0.1076923076923077,5.0,2nd Place,0
2,1.0,Kenny Mayne,Rank,13.0,0.06666666666666667,9.0,Eliminated Week 1,1
2,1.0,Lisa Rinna,Rank,19.0,0.09743589743589744,7.0,Eliminated Week 7,0
2,1.0,Master P,Rank,12.0,0.06153846153846154,10.0,Eliminated Week 4,0
2,1.0,Stacy Keibler,Rank,22.0,0.11282051282051282,4.0,3rd Place,0
2,1.0,Tatum O'Neal,Rank,23.0,0.11794871794871795,2.0,Eliminated Week 2,0
2,1.0,Tia Carrere,Rank,20.0,0.10256410256410256,6.0,Eliminated Week 5,0
2,2.0,Drew Lachey,Rank,27.0,0.135,2.0,1st Place,0
2,2.0,George Hamilton,Rank,22.0,0.11,5.0,Eliminated Week 6,0
2,2.0,Giselle Fernandez,Rank,24.0,0.12,3.0,Eliminated Week 3,0
2,2.0,Jerry Rice,Rank,23.0,0.115,4.0,2nd Place,0
2,2.0,Lisa Rinna,Rank,20.0,0.1,7.0,Eliminated Week 7,0
2,2.0,Master P,Rank,16.0,0.08,9.0,Eliminated Week 4,0
